step,hour,scenario,load_kw,solar_kw,net_load_kw,loss_kw,v_bus2,v_bus3,v_bus4,v_bus5,v_bus6,v_min,v_max,v_avg,v_violation,overvoltage,undervoltage,reverse_flow,smart_inv
0,0.0,S1: Legacy (No DER),270.17,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
1,0.25,S1: Legacy (No DER),270.27,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
2,0.5,S1: Legacy (No DER),270.44,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
3,0.75,S1: Legacy (No DER),270.69,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
4,1.0,S1: Legacy (No DER),271.08,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
5,1.25,S1: Legacy (No DER),271.66,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
6,1.5,S1: Legacy (No DER),272.52,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
7,1.75,S1: Legacy (No DER),273.75,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
8,2.0,S1: Legacy (No DER),275.5,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
9,2.25,S1: Legacy (No DER),277.94,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
10,2.5,S1: Legacy (No DER),281.28,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
11,2.75,S1: Legacy (No DER),285.79,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
12,3.0,S1: Legacy (No DER),291.75,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
13,3.25,S1: Legacy (No DER),299.5,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
14,3.5,S1: Legacy (No DER),309.38,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
15,3.75,S1: Legacy (No DER),321.77,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
16,4.0,S1: Legacy (No DER),336.99,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
17,4.25,S1: Legacy (No DER),355.35,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
18,4.5,S1: Legacy (No DER),377.05,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
19,4.75,S1: Legacy (No DER),402.19,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
20,5.0,S1: Legacy (No DER),430.7,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
21,5.25,S1: Legacy (No DER),462.34,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
22,5.5,S1: Legacy (No DER),496.63,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
23,5.75,S1: Legacy (No DER),532.89,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
24,6.0,S1: Legacy (No DER),570.23,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
25,6.25,S1: Legacy (No DER),607.56,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
26,6.5,S1: Legacy (No DER),643.65,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
27,6.75,S1: Legacy (No DER),677.18,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
28,7.0,S1: Legacy (No DER),706.84,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
29,7.25,S1: Legacy (No DER),731.39,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
30,7.5,S1: Legacy (No DER),749.77,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
31,7.75,S1: Legacy (No DER),761.15,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
32,8.0,S1: Legacy (No DER),765.0,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
33,8.25,S1: Legacy (No DER),761.15,0.0,0.36,0.661,1.0006,1.0006,1.0001,1.0001,1.0001,1.0001,1.0006,1.0003,0,0,0,0,False
34,8.5,S1: Legacy (No DER),749.77,0.0,0.9,3.804,0.9944,0.9944,0.9924,0.9924,0.9924,0.9924,0.9944,0.9932,0,0,0,0,False
35,8.75,S1: Legacy (No DER),731.39,0.0,0.32,0.557,1.001,1.001,1.0007,1.0007,1.0007,1.0007,1.001,1.0008,0,0,0,0,False
36,9.0,S1: Legacy (No DER),706.84,0.0,0.53,1.32,0.9986,0.9986,0.9976,0.9976,0.9976,0.9976,0.9986,0.998,0,0,0,0,False
